KO_ID	Category1
K00627	Central carbohydrate metabolism
K00658	Central carbohydrate metabolism
K00844	Central carbohydrate metabolism
K00845	Central carbohydrate metabolism
K00850	Central carbohydrate metabolism
K00873	Central carbohydrate metabolism
K00874	Central carbohydrate metabolism
K00886	Central carbohydrate metabolism
K00918	Central carbohydrate metabolism
K00927	Central carbohydrate metabolism
K00948	Central carbohydrate metabolism
K01057	Central carbohydrate metabolism
K01086	Central carbohydrate metabolism
K01596	Central carbohydrate metabolism
K01610	Central carbohydrate metabolism
K01622	Central carbohydrate metabolism
K01623	Central carbohydrate metabolism
K01624	Central carbohydrate metabolism
K01625	Central carbohydrate metabolism
K01647	Central carbohydrate metabolism
K01676	Central carbohydrate metabolism
K01677	Central carbohydrate metabolism
K01678	Central carbohydrate metabolism
K01679	Central carbohydrate metabolism
K01681	Central carbohydrate metabolism
K01682	Central carbohydrate metabolism
K01689	Central carbohydrate metabolism
K01690	Central carbohydrate metabolism
K01783	Central carbohydrate metabolism
K01803	Central carbohydrate metabolism
K01807	Central carbohydrate metabolism
K01808	Central carbohydrate metabolism
K01810	Central carbohydrate metabolism
K01834	Central carbohydrate metabolism
K01899	Central carbohydrate metabolism
K01900	Central carbohydrate metabolism
K01902	Central carbohydrate metabolism
K01903	Central carbohydrate metabolism
K02446	Central carbohydrate metabolism
K03737	Central carbohydrate metabolism
K03738	Central carbohydrate metabolism
K03841	Central carbohydrate metabolism
K04041	Central carbohydrate metabolism
K05308	Central carbohydrate metabolism
K06859	Central carbohydrate metabolism
K07404	Central carbohydrate metabolism
K08074	Central carbohydrate metabolism
K08093	Central carbohydrate metabolism
K08094	Central carbohydrate metabolism
K11389	Central carbohydrate metabolism
K11395	Central carbohydrate metabolism
K11532	Central carbohydrate metabolism
K11645	Central carbohydrate metabolism
K12406	Central carbohydrate metabolism
K12407	Central carbohydrate metabolism
K13810	Central carbohydrate metabolism
K13812	Central carbohydrate metabolism
K13831	Central carbohydrate metabolism
K13937	Central carbohydrate metabolism
K15633	Central carbohydrate metabolism
K15634	Central carbohydrate metabolism
K15635	Central carbohydrate metabolism
K15916	Central carbohydrate metabolism
K16305	Central carbohydrate metabolism
K16306	Central carbohydrate metabolism
K16370	Central carbohydrate metabolism
K18020	Central carbohydrate metabolism
K18021	Central carbohydrate metabolism
K18022	Central carbohydrate metabolism
K18118	Central carbohydrate metabolism
K18126	Central carbohydrate metabolism
K18127	Central carbohydrate metabolism
K18128	Central carbohydrate metabolism
K18859	Central carbohydrate metabolism
K18860	Central carbohydrate metabolism
K18978	Central carbohydrate metabolism
K19243	Central carbohydrate metabolism
K00002	Other carbohydrate metabolism
K00008	Other carbohydrate metabolism
K00012	Other carbohydrate metabolism
K00023	Other carbohydrate metabolism
K00024	Other carbohydrate metabolism
K00025	Other carbohydrate metabolism
K00026	Other carbohydrate metabolism
K00031	Other carbohydrate metabolism
K00040	Other carbohydrate metabolism
K00041	Other carbohydrate metabolism
K00067	Other carbohydrate metabolism
K00134	Other carbohydrate metabolism
K00140	Other carbohydrate metabolism
K00249	Other carbohydrate metabolism
K00261	Other carbohydrate metabolism
K00281	Other carbohydrate metabolism
K00382	Other carbohydrate metabolism
K00600	Other carbohydrate metabolism
K00605	Other carbohydrate metabolism
K00626	Other carbohydrate metabolism
K00699	Other carbohydrate metabolism
K00700	Other carbohydrate metabolism
K00703	Other carbohydrate metabolism
K00830	Other carbohydrate metabolism
K00844	Other carbohydrate metabolism
K00845	Other carbohydrate metabolism
K00849	Other carbohydrate metabolism
K00854	Other carbohydrate metabolism
K00874	Other carbohydrate metabolism
K00883	Other carbohydrate metabolism
K00886	Other carbohydrate metabolism
K00927	Other carbohydrate metabolism
K00963	Other carbohydrate metabolism
K00965	Other carbohydrate metabolism
K00973	Other carbohydrate metabolism
K00975	Other carbohydrate metabolism
K01051	Other carbohydrate metabolism
K01184	Other carbohydrate metabolism
K01195	Other carbohydrate metabolism
K01213	Other carbohydrate metabolism
K01214	Other carbohydrate metabolism
K01236	Other carbohydrate metabolism
K01601	Other carbohydrate metabolism
K01602	Other carbohydrate metabolism
K01625	Other carbohydrate metabolism
K01631	Other carbohydrate metabolism
K01637	Other carbohydrate metabolism
K01638	Other carbohydrate metabolism
K01647	Other carbohydrate metabolism
K01681	Other carbohydrate metabolism
K01682	Other carbohydrate metabolism
K01684	Other carbohydrate metabolism
K01685	Other carbohydrate metabolism
K01686	Other carbohydrate metabolism
K01710	Other carbohydrate metabolism
K01784	Other carbohydrate metabolism
K01785	Other carbohydrate metabolism
K01790	Other carbohydrate metabolism
